collocate,frequenza,PMI
health,965,6.252644371873355
heritage,369,3.6965252730765745
take,281,5.844360428176595
collection,273,4.7253694598342815
practice,266,4.6748228283115685
cultural,224,3.558036574987792
museum,197,3.259487010344332
social,196,4.188148366210721
inward,163,3.4276459463488003
community,161,3.8507481026903427
child,148,4.679943271297259
education,147,4.7605619762072875
human,146,4.325302023504446
people,134,4.128993348028033
conservation,131,3.7760515008382467
medical,119,4.928528390543343
work,112,3.493472571012294
patient,111,5.645923162364756
object,111,4.340389505728063
use,99,2.8249946679331166
study,95,2.7234333130506716
provide,89,3.897000821058534
management,86,4.022570069630199
research,86,2.9705905411985722
well,84,3.535257119768918
system,77,4.22614982647022
base,77,3.4878673038320223
ethic,77,5.797996827401118
need,76,3.8946150175697376
approach,75,3.5145085350560783
delivery,74,7.399283194781631
material,72,3.626400489981166
public,71,3.703988374866239
service,70,4.4625539260392735
self,69,5.142235084013568
indigenous,68,4.091426125091687
family,67,3.78901228041101
culture,67,3.7074823949144116
policy,66,4.229080645235175
art,66,3.062010770473552
access,65,4.786891807448465
site,65,3.4695754214669154
value,65,3.3246723714395485
monument,65,5.23819285071408
primary,64,5.604867328431525
include,63,3.501976903247458
practitioner,63,5.992612021420461
history,62,3.205874795728001
support,61,3.8575327608817735
new,60,2.8728566162080837
preservation,60,3.706367188862954
place,59,3.6281087079661667
experience,59,3.4008559955391844
nature,59,4.306938132151545
mental,58,4.780489060043362
ritual,58,5.599665013189471
dementia,58,5.39573412770056
culturally,56,5.725588331873068
also,56,2.791077413461327
foster,55,5.708155136843547
term,54,4.08531566148895
facility,54,6.10821606359903
professional,52,4.12776886102043
within,51,3.466017378974074
death,51,5.362181567989533
home,51,5.139789146653086
chapter,50,3.1253411027009674
model,50,3.6120298543259417
preventive,50,5.57926474339832
quality,49,4.515970175326958
development,49,2.7904394762230353
center,49,4.681157257762607
historic,49,3.786617765270627
great,48,4.440550973547624
long,48,4.071185332654062
environment,47,3.876522216837664
make,47,3.1022122282746865
protection,47,4.455849182889387
journal,46,3.6430024573182966
organization,46,5.028893610937623
pastoral,46,6.798280682796207
knowledge,46,3.1952163756997405
historical,45,3.036178882826149
group,45,2.9749155873692525
space,44,3.7151493834464357
early,44,3.961560841479564
personnel,44,5.812760180072858
local,44,3.0937958443133193
palliative,44,7.319112846097648
time,43,2.9821652339853455
institution,43,3.473914572895371
archaeological,43,3.314925049134214
spirituality,43,6.237582960601049
springer,42,5.187868312819395
state,42,3.3342197384878562
switzerland,41,5.610575660257959
issue,41,3.4052018228113567
program,41,3.9318310132161858
national,41,3.2378729981374703
century,41,3.0400402301720826
must,41,5.054613031259355
nursing,41,5.1068092423847835
one,40,2.710303603422124
information,40,3.3011909381003854
paper,40,2.7386658264989845
responsibility,40,4.975705023799834
government,39,4.296176034820489
concern,38,4.063214621545482
risk,38,3.8910833265994844
clinical,38,5.166160923259049
provider,38,6.2271903566566085
however,37,3.497899075479656
united,37,4.233945462834971
de,37,2.8721413484488174
form,37,3.495143210189147
process,37,2.884710021951873
good,36,4.226943002169781
way,36,2.8397816700226457
building,36,2.712604815095227
involve,36,4.005222070275703
focus,36,2.991186010588842
hospital,35,4.454042426183756
understanding,35,3.9807903129596167
ag,35,5.8336860189274065
life,35,2.8747486755492924
project,35,2.6314122397872333
planning,35,4.553578099734671
population,35,3.8484830208554865
right,35,2.601338516951279
explore,34,3.001434224211643
student,34,3.2619174445161048
disease,34,4.505708879367239
change,34,2.7323834192023035
benefit,34,4.182574013149882
concept,33,3.7710499281880208
standard,33,4.808918113778463
world,33,2.855712325257405
design,33,2.9330544137905696
environmental,33,3.6527005317567496
aspect,33,3.741455145999725
require,33,4.511757924040043
lack,33,4.562607065535796
give,33,3.8478071271720586
develop,33,2.93514679275181
control,32,4.2316500048473085
live,32,3.618673127956556
person,32,4.918233409815463
consider,32,3.2856898445601974
framework,32,3.7606921328289835
future,32,3.0951111718995428
respect,32,4.70440300198244
remain,32,3.3247594092387898
part,32,2.992683358975345
adult,32,3.9054849170734753
childhood,32,5.061725003404996
sustainable,31,3.453130194069335
show,31,3.0301351730115718
preserve,31,3.4985220968833493
promote,31,3.99253838635392
act,31,4.636684535940875
examine,31,3.351468219410033
pregnancy,31,6.390666107122682
relationship,30,3.337260192807907
staff,30,4.574951750527238
university,30,2.89284809139555
many,30,3.023879617875706
ensure,30,4.7103036034221235
result,29,2.4373132314519594
argue,29,4.047810824280253
institutional,29,4.319112846097648
improve,29,4.188409154453054
role,29,2.7847764184464596
behavior,29,4.462848323559097
science,29,3.140920228671735
centre,29,4.350545353934304
address,29,3.5660690439178677
build,28,3.249950821590252
specific,28,3.630612741268081
field,28,3.1664658360871707
landscape,28,3.26848677302768
integrate,27,4.550438392204104
duty,27,6.007911157803344
plan,27,4.149187844655335
decision,27,3.7386099935671915
states,27,4.266645426203512
educational,27,4.029606228902663
relate,27,3.346079893697917
american,27,3.250633108214881
activity,27,2.9166534128982735
present,26,2.194593823710217
traditional,26,2.887695603629947
urban,26,2.887695603629947
country,26,3.2251366978886336
case,26,2.381116650248268
maintenance,26,4.503852725954697
identify,26,2.9944130019602317
inform,26,4.697624469351378
special,26,4.442123736202991
economic,25,3.252162602173021
method,25,2.5076418155678115
theory,25,3.696182495177471
particular,25,3.849226869823184
become,25,2.994302242677164
medicine,25,3.44726919758833
disparity,25,6.181609322347713
male,25,4.092604316288968
competent,25,6.918574916513919
draw,25,3.6231190329877476
challenge,25,2.8544445790942037
condition,25,3.3742544002901087
city,25,2.5514580478603013
area,24,2.677663154030018
making,24,4.162608360417657
discuss,24,3.296745033069193
spiritual,24,4.637288806123903
understand,24,3.2316500048473085
storage,24,4.189829829152681
old,24,3.2422972490468167
sensitive,24,5.412222250489129
important,24,2.7266558088295674
high,24,3.0032085388380554
treatment,23,3.6878566931025567
datum,23,2.463296435083399
partner,23,5.652850243274644
relation,23,3.662765712139726
engagement,23,3.6381036579054573
share,23,3.677767875478973
critical,23,3.5572725832924124
attention,23,3.90603686315209
create,23,2.9208338650801706
proper,23,6.1702494601831654
generation,23,3.7499176612348086
body,23,3.7031234497558674
transcultural,22,7.971189542677341
learning,22,3.8776776567541966
suggest,22,3.4931422458726966
collections,22,5.7561766517064905
exhibition,22,3.356479698562133
society,22,2.731420552620919
action,22,3.4931422458726966
common,22,3.7561766517064905
may,22,2.9776445648146406
perspective,22,3.2667918109675655
dental,22,5.801264541235028
notion,22,4.945654450570204
display,21,3.757233958489533
young,21,3.5465233422007203
elderly,21,5.8045396732678896
propose,21,3.6725112795841057
individual,21,2.5265549259681244
strategy,21,3.0930447666178016
woman,21,3.2155752419892374
context,21,2.664306356762382
level,21,3.0006238351770564
adolescent,21,5.561683149371726
analysis,21,1.8675092175873738
female,21,3.6346146718255774
potential,21,3.183953262816012
thus,20,3.947553983485685
housing,20,4.9828294582332155
review,20,3.0189891215286337
first,20,2.339544746002461
help,20,3.3236283272201406
idea,20,3.8401410410647054
contemporary,20,3.0080457438420525
collective,20,4.402636201659932
importance,20,3.279097167249769
identity,20,2.846625074634904
international,20,2.537753132572988
responsible,20,5.071185332654062
day,20,4.149187844655335
application,20,3.6694973870342382
parent,20,4.471115939542698
seek,20,3.961560841479564
provision,20,5.266001509638086
reserve,20,2.2967450330691936
aim,20,2.4315875753560605
welfare,19,3.9597100457916223
experiment,19,5.075187263211559
describe,19,3.26325961136413
sustainability,19,3.5336173580037826
engage,19,3.249627745776364
feminist,19,4.880539832358015
setting,19,4.124096863692505
personal,19,3.7468613971260454
author,19,2.684397310179392
ethical,19,3.8255733731400863
principle,19,3.779137800149802
agency,19,4.42748900714244
among,19,2.7922532999400596
increase,19,2.9783257239589696
rural,19,3.4122222504891293
training,19,3.866600641400141
assessment,19,3.5897604360413164
physician,18,5.029606228902662
animal,18,3.788598129398868
matter,18,3.2175748196355856
interest,18,3.2316500048473085
natural,18,3.0967204247612
school,18,2.915390660046638
stewardship,18,5.2795844819110105
digital,18,2.4364697967358064
institute,18,3.380513390761791
interview,18,3.122715633294144
participation,18,3.788598129398868
towards,18,3.795550890040635
attitude,18,3.8166125055684645
receive,18,4.656147833375218
guide,17,3.8596812274603507
architecture,17,2.8443332631269147
aboriginal,17,4.464061182008747
mother,17,4.13045128207375
programme,17,4.340486496890215
age,17,2.9719474597112625
literature,17,3.3786696907781026
physical,17,3.400951138154109
different,17,2.095962905688459
worker,17,4.429295763848071
modern,17,2.8291468593122384
services,17,5.452379376961112
question,17,2.8635438670927496
participatory,17,4.049023682729903
caregiver,17,4.867416876239956
anthropology,17,4.206903342511623
offer,17,2.791865843232779
archaeology,17,2.8674168762399557
law,17,3.3191128460976476
two,16,1.9859574957870314
sense,16,3.5312102867062163
communication,16,3.253023655639875
selection,16,3.5642253439341793
essential,16,3.961560841479564
complex,16,3.061725003404996
priority,16,4.618673127956556
establish,16,3.296745033069193
example,16,2.756870421876575
ongoing,16,4.461131850970076
around,16,3.4862228319329063
religious,16,3.080708106772569
know,16,2.9837224914037233
tourism,16,2.436469796735807
contribute,16,3.038342075967045
necessary,16,4.0337106272354
perform,16,4.2316500048473085
methodology,16,3.2369638047437763
mean,16,3.3765983407584077
key,15,3.176154892255605
curatorial,15,5.0967204247612
legal,15,3.380513390761791
relational,15,4.978075928262581
safety,15,4.71820880150747
across,15,3.198097445136282
regard,15,3.1438544003522946
three,15,2.515197008006815
property,15,3.464452209261687
aged,15,4.006834921244005
come,15,3.3680224465785944
year,15,1.9018228950874252
healthcare,15,3.5821472519314415
tool,15,2.8906130870122415
psychiatric,14,5.017943311377083
curation,14,4.8045396732678896
justice,14,3.986916415756458
uk,14,2.9818095253233694
member,14,3.571878916477614
love,14,4.482611578380527
temporality,14,6.039004926904912
general,14,3.2747187267391937
order,14,2.468256285403457
since,14,3.0023464563260642
artistic,14,3.5642253439341793
although,14,3.4122222504891293
lead,14,2.4260280500141596
exist,14,3.065771836467698
manage,14,3.6186731279565554
learn,14,3.256103048571847
demand,14,4.126467768155252
posthumous,14,7.2195771725467335
resource,14,2.256103048571847
infrastructure,14,4.172271457768376
tradition,14,2.855004740250877
unique,14,3.3385652087638205
initiative,14,3.5642253439341793
psychological,14,4.602905812098238
past,14,2.1292882872176304
house,14,3.0179433113770826
colonial,14,3.256103048571847
procedure,14,4.3985473135920525
visitor,14,2.873802335705003
might,14,3.9366432092752346
significant,13,2.6664057387406572
beyond,13,3.3975007447823633
particularly,13,3.186662550073998
artist,13,3.0537682795766528
continue,13,3.186662550073998
co,13,3.618673127956556
upon,13,3.7249318153471127
today,13,3.0537682795766528
residential,13,5.23819285071408
ethnic,13,3.2780855778375932
performance,13,3.5197066771555345
prevention,13,4.869805444734058
preschool,13,6.1126619686302215
effort,13,3.14303561767374
current,13,2.5974877980659277
language,13,2.551947014155742
france,13,4.975158444880287
treat,13,4.0888152266758535
without,13,3.457310140017667
skill,13,3.568341452406411
african,13,2.9480902016821156
measure,13,3.5197066771555345
much,13,3.2984533755315546
note,13,4.053768279576652
legacy,13,3.4959906081817267
artifact,13,4.149187844655335
basic,13,3.942736967187909
authority,13,4.042272640738823
museums,13,3.9534633737809672
nurse,13,4.662000559620656
materiality,13,5.019552564238739
aesthetic,13,3.9534633737809672
reflect,13,2.781147824913661
diverse,12,3.142524114374325
documentation,12,3.109659480468698
technology,12,2.1161727874273724
hospice,12,7.319112846097648
addition,12,3.5203710543447517
especially,12,3.015332097920545
define,12,3.245863864067009
toward,12,4.245863864067009
accessible,12,4.0967204247612
find,12,1.9210817721244937
follow,12,2.486222831932906
curriculum,12,4.380513390761791
kingdom,12,4.2316500048473085
geography,12,4.6002945986417005
intensive,12,6.8166125055684645
land,12,3.245863864067009
guideline,12,4.109659480468698
informal,12,5.289365502703596
francis,12,2.84337941513125
leaver,12,7.319112846097648
cancer,12,5.444643728181506
intervention,12,2.8219263054649324
awareness,12,3.4946844106811024
handle,12,4.904075346818804
could,12,2.524696979747542
artefact,12,3.7851342740952965
reflection,12,3.2674507262751553
insight,12,3.564225343934179
encourage,12,4.00925758351086
full,12,4.774792329873837
appropriate,12,3.9615608414795638
collect,12,2.8379861563610316
textile,12,3.6279509415445665
accessibility,12,4.837986156361032
practical,12,3.296745033069193
demonstrate,12,2.8596812274603507
infant,12,5.176154892255605
collaboration,12,3.4122222504891293
emotional,12,3.665670607493725
enhance,12,3.428341915852406
limited,12,2.8984507976249256
climate,12,2.709318492396556
hold,12,3.2316500048473085
finding,12,2.675256656322923
sustain,12,4.837986156361032
maternity,11,6.1346882749602205
memory,11,2.5642253439341793
evidence,11,2.920563469607373
domestic,11,4.386227041956185
illness,11,4.28669136840527
expand,11,4.050624010171745
survey,11,2.452114977612642
implication,11,3.2239556130573077
element,11,2.691081623484606
regime,11,4.920563469607373
moral,11,4.078104746593853
even,11,2.739625475442643
yet,11,3.335600968886217
perception,11,3.569091099105995
employment,11,4.691081623484606
ethics,11,5.456616369847582
participant,11,2.8419065257323743
architectural,11,2.447627586620328
trauma,11,4.254982508677932
broad,11,3.4209924601168615
major,11,3.239385653626914
biomedical,11,5.920563469607373
facilities,11,7.608619463292633
artwork,11,3.4122222504891293
range,11,2.82434815434807
north,11,3.5401397254098663
cross,11,3.502420059460708
europe,11,3.1935819640137892
ecec,11,6.254982508677932
inclusive,11,3.9081797451515405
poor,11,3.945654450570203
food,11,3.3109389146519477
manuscript,11,4.28669136840527
increasingly,11,3.618673127956556
investment,11,4.945654450570204
restoration,11,2.920563469607373
interaction,11,3.3028110337685472
theme,11,3.8478071271720586
