Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
2TT5GVJV,journalArticle,2020,"Adrian, Valérie",Transgenders of the child and the adolescent: A legacy in movement; Les transidentités de l'enfant et de l'adolescent: un héritage en mouvement,Annales Medico-Psychologiques,,,10.1016/j.amp.2020.04.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085105688&doi=10.1016%2Fj.amp.2020.04.006&partnerID=40&md5=a52b3902f8ab57a56a542f04887ae553,"Nowadays, in France, specialized consultations for transgender youth are developed. In a context of societal, political and anthropological evolution of the concept of gender, the international experience of the Gender Clinics abroad and the Standards of Care produced by international professional associations are guiding the French experience for gender transition in children and adolescents. © 2020",2020,2025-12-16 16:10:38,2025-12-16 16:10:38,,644 - 649,,6,178,,,,,,,,,,,,,,,,,Type: Article,,,,anthropology; consultation; politics; human; child; adolescent; Article; personal experience; professionalism; France; transgender; transitional care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPKDFSVK,journalArticle,,"Àkànle, Olayinka Below",,,,,,,,,2025-12-16 16:10:38,2025-12-16 16:10:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HXWZAXGV,journalArticle,2017,"Babino, Alexandra; Stewart, Mary Amanda","“I Like English Better”: Latino Dual Language Students’ Investment in Spanish, English, and Bilingualism",Journal of Latinos and Education,,,10.1080/15348431.2016.1179186,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973110374&doi=10.1080%2F15348431.2016.1179186&partnerID=40&md5=9dc12c6ab3fd9924548b164339093a6a,"This mixed-methodology study surveys 63 fifth graders in a one-way dual language school. Findings alarmingly indicate that although these students are native Spanish speakers in a school that delivers 50% of their instruction in Spanish, they prefer English both academically and socially. Subsequent interviews with 10 sample students of the larger study generate deeper understandings about how these students view their languages. If dual language programs are going to be maximally successful, then they must foster an environment that encourages students’ attitudes and investments toward both of their languages, taking particular care to protect and promote the minority language. © 2017 Taylor & Francis Group, LLC.",2017,2025-12-16 16:10:40,2025-12-16 16:10:40,,18 - 29,,1,16,,,,,,,,,,,,,,,,,Type: Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAWJVI8Z,journalArticle,2024,"Bellón, Paula; Nieva, Silvia; Rena Lyons, Rena",Amplifying Parental Views about Language Choice When Raising Multilingual Children: Towards a Family-Centered Approach in Professional Contexts,Languages,,,10.3390/languages9070250,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199887056&doi=10.3390%2Flanguages9070250&partnerID=40&md5=05d05097ddade09da35c689ae5d2b8ca,"Multilingualism has become the norm in families all over the world. These families need to juggle their children’s linguistic identity and integration in their contexts. They may also need professional advice about which language(s) they should use at home, especially when children present with developmental disorders. There is a dearth of studies addressing the role parental views play in home-language maintenance with children with developmental disorders. This study is conducted in Spain, where Spanish is the national language, along with local languages in certain regions, as well as foreign languages. This qualitative study aimed to deepen our understanding of the views about language choice of multilingual families whose children have either typical language development or a developmental disorder in Spain. We recruited 26 parents of multilingual children aged between 5 and 10 years, from different linguistic backgrounds. Semi-structured online interviews were conducted. The data were analyzed through reflexive thematic analysis. The findings illustrate the complexity and nuance of parents’ views and decisions regarding language choice in their contexts. The themes included identity and belonging, as well as the influences of external advice on parental decisions. It is important that professionals such as speech–language therapists understand these views to enable them to deliver family-centered care. © 2024 by the authors.",2024,2025-12-16 16:10:40,2025-12-16 16:10:40,,,,7,9,,,,,,,,,,,,,,,,,Type: Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L5C8Y7MI,journalArticle,2024,"Belmonte, Genuario; Balestrieri, Rosario; Santacesaria, Francesca Cornelia; Fanizza, Carmelo","Proposals of ""Open Air"" tourism, associated with scientific investigation in the wild, ready as psychological health care in the period of Covid 2019 pandemic",,,,10.1007/978-3-031-52041-9_23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205005262&doi=10.1007%2F978-3-031-52041-9_23&partnerID=40&md5=20a5b017f7fa585da02af59455c77924,"The necessity to avoid crowding situations someway braked mass tourism during the COVID pandemic period. This necessity allowed the discovery of already existing proposals of tourism in the wild (eco-tourism) for small number of participants and in open air situations. Among the already structured eco-tourism proposals, a particular role is played by the guided observation of animals in the wild (birdwatching and whale watching). Also the not diffused Research Tourism (for even smaller numbers of tourists) has been re-launched embracing also the other proposals under the common purpose of obtaining scientific results, by the helping of citizens in direct collaboration with researchers during their expeditions in the wild. The Res-Tourism, however, is different from the Citizen Science in the fact that participants are under the direct control of scientists and not independent in the collection and communication of data. This aspect of eco-tourism simply waits for cumulative definitions and ethical rules, being the organization aspects (as in the case of birdwatching and whale watching) already structured and economically valuated. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024. All rights reserved.",2024,2025-12-16 16:10:40,2025-12-16 16:10:40,,337 - 350,,,,,,,,,,,,,,,,,,,,Type: Book chapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WXNZYRFI,journalArticle,2024,"Bley, Lucia",Collective elaboration as a way out of institutional “Mortification ?” Fernando Ulloa's Clinical and political legacy; Sortir de la « mortification » institutionnelle par le collectif ? Héritage clinique et politique de Fernando Ulloa,Evolution Psychiatrique,,,10.1016/j.evopsy.2023.08.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171677597&doi=10.1016%2Fj.evopsy.2023.08.003&partnerID=40&md5=e057538eff9b4a84340a3fe13e31190e,"Introduction: The article proposes to explore the work as well as the clinical and political career of Fernando Ulloa, an essential reference for institutional analysis in Argentina. It will also address links with the movement for institutional psychotherapy in France. Method: Through a study of his works and his lectures in the academic, psychoanalytical, and political sphere, we show how Fernando Ulloa's work interrogates the violence that runs through healthcare institutions as well as the notion of “collective elaboration.” Results: By putting the social issue at the heart of clinical work and by interweaving the therapeutic and didactic dimensions, the work of Fernando Ulloa is strongly inspired by that of Pichon Rivière, of whom he was one of the main students, and of the latter's “group operatives”. Indeed, his work as a psychoanalyst with what he calls “social numerosity” aims to contribute to the emergence of collective critical thought. His commitment to social justice and his fight for human rights led him to theorize the notion of a “culture of mortification,” a certain tone of contemporary institutional suffering. He points to collective elaboration and “tenderness” as the two ways out of this mortification. Discussion: His constant effort to articulate psychoanalysis and politics resonates meaningfully with the violence that currently abounds in the realm of psychic care in France. It also questions our relationship to theoretical dogmas and proposes to conceive of the psychoanalytic ethic as that of a “psychoanalytic being” at any given point in time, and not as an identity. Conclusion: The clinical and political legacy of Fernando Ulloa helps us to question our commitment to clinical work and to reflect upon what heals institutions and those who practice within them. © 2023 Elsevier Masson SAS",2024,2025-12-16 16:10:42,2025-12-16 16:10:42,,138 - 147,,1,89,,,,,,,,,,,,,,,,,Type: Article,,,,social justice; politics; violence; article; human; male; controlled study; human experiment; France; heart; human rights; psychoanalysis; theoretical study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HG7KTN8S,journalArticle,2013,"Christie, William H.",Blackwood’s Edinburgh Magazine in the Scientific Culture of Early Nineteenth-Century Edinburgh,"Palgrave Studies in the Enlightenment, Romanticism and Cultures of Print",,,10.1057/9781137303851_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145719559&doi=10.1057%2F9781137303851_10&partnerID=40&md5=1c8be95b270e7d0f12536c30f520c3c8,"The April 1818 number of Blackwood’s Edinburgh Magazine opens with a proto-Brechtian sketch entitled ‘Galileo at the Inquisition’, in which Galileo is imagined in dialogue with one of the monks, his gaoler. It is difficult to tell where exactly the sympathy of the author lies throughout the interaction - or perhaps it is more accurate to say that the moral authority appears to shift between the two characters. Galileo is immediately recognizable as the hero of a scientific modernity, resisting the politico-theological constraints of an oppressive ‘universal’ church. Yet the question of whose ‘truth’ proves the more vulnerable remains unclear, as when Galileo yearns heavenward and the Monk recommends he ‘study the scriptures, with care and diligence, and you will have no need for optical contrivances’: Galileo I think there is no sacrilege in attempting to discover more of the nature of the universe than what is revealed in [the Scriptures]. Monk So you believe yourself capable of succeeding in the attempt? Galileo Perhaps I do. Monk Do not allow yourself to be led away by the idle suggestions of selfconceit. What is there to be seen about you, which should enable you to penetrate farther into the secrets of the universe than me and the rest of mankind? © 2013, William Christie.",2013,2025-12-16 16:10:44,2025-12-16 16:10:44,,125 - 136,,,,,,,,,,,,,,,,,,,,Type: Book chapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9NBEL7X,journalArticle,2022,"D’Andrea, Federica; Tischler, Victoria A.",“It inspires me and suddenly the ideas come”: exploring the use of cultural venues in mental health care,Arts and Health,,,10.1080/17533015.2020.1866622,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098594512&doi=10.1080%2F17533015.2020.1866622&partnerID=40&md5=c4ffca52827165200666f5cbc60028ba,"Aims: This study aimed to explore the experiences of a group of adults with a history of substance misuse taking part in a novel, multi-centre cultural intervention: Creative Conversations, including the impact of the project on participants' mental health. Methods: A qualitative approach was used including a Visual Matrix and observation in order to explore the experiences of 10 participants recruited from drug and alcohol services. Results: The results indicated positive impacts on mental health including a growing sense of competence, engagement, social integration and a sense that the project provided therapeutic support that translated into integrating creative activities into their everyday habits. Conclusions: Cultural interventions like Creative Conversations demonstrate positive impacts on mental health, engaging individuals who may find it difficult to access services such as those with substance misuse issues, and play an important role in sustaining and promoting mental wellbeing in the community. Despite positive findings, projects such as this require adequate staff training and sustained funding in order to provide wider benefits to those with mental health problems. © 2020 Informa UK Limited, trading as Taylor & Francis Group.",2022,2025-12-16 16:10:46,2025-12-16 16:10:46,,102 - 118,,1,14,,,,,,,,,,,,,,,,,Type: Article,,,,Humans; adult; Adult; human; mental health; drug dependence; Mental Health; Substance-Related Disorders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBV4ETPX,journalArticle,2022,"Ekelund, Robin",Retrospective Sanctuaries: Investigating Conflicts in Retrospective Facebook Groups,Culture Unbound,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134371121&partnerID=40&md5=f81a23720b683a068f1e82642e149ab4,"This article investigates conflicts in retrospective Facebook groups, i.e., groups created with a particular interest and focus on the past, to analyse how members of these groups understand the past and how they negotiate, resist and challenge each other’s notions of the past. The data comes from a netnographic fieldwork within six such retrospective groups. Theoretical inspiration is drawn from Actor-Network-Theory (Harrison 2013, Latour 2005). The analysis thusly focuses on human (the members of the groups) as well as non-human actors (the operative logic of Facebook) and study how these produce associations between the past and the present. An overall result of the study is that the retrospective Facebook groups are not characterised by conflict. Instead, they are produced as places of sanctuary, where associations with the past becomes a basis for a nostalgic feel-good culture. However, the analysis also shows that the sanctuaries build on the production of a discontinuity and a conflict between the past and the present. Using Boym’s concept of ruinophilia, as well as Bauman’s concept of retrotopia, the article discusses how the conflicted discontinuity between the past and the present produces an us-and-them relationship where group members can come together in a nostalgic as well as a critical care for the world as it (in their perspectives) was supposed to be. The analysis also illustrates how members’ use of sources and references becomes a mere stylistic performance of authority, as the operative logic of Facebook not only enables but also constrains group interactions, reducing the members’ possibilities of having profound interactions and negotiations based on their memories and notions of the past. The article hereby contributes to the emerging research on digital memories in general, and memory work on Facebook in particular. © This work is licensed under a Creative Commons Attribution 4.0 International License",2022,2025-12-16 16:10:51,2025-12-16 16:10:51,,61 - 82,,2,14,,,,,,,,,,,,,,,,,Type: Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUK8BLVQ,journalArticle,2010,"Fuentes Pardo, José María; Gallego, Eutiquio; García, Ana Isabel; Ayuga Téllez, Francisco",New uses for old traditional farm buildings: The case of the underground wine cellars in Spain,Land Use Policy,,,10.1016/j.landusepol.2009.10.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649338807&doi=10.1016%2Fj.landusepol.2009.10.002&partnerID=40&md5=dd62d80f3a78c1f33c9343a263806fb2,"Traditional buildings are important features of the rural landscape and a valuable documental source about rural technology and ways of life in the countryside. For the last 60 years many traditional farm buildings have lost their original function because of the great changes in the European agricultural sector. Their respectful conversion to adopt new activities provides economic, socio-cultural and landscape benefits for promoters and the whole rural community. Traditional wine caves used for the production and storage of wine are particular good examples of redundant rural buildings needing for viable new uses. The aims of this paper are to present the architectural features of these agro-industrial spaces and to discuss suitable new uses for them. The technical, socioeconomic and legal contexts of the reuse are also examined in the paper. The use of traditional wine cellars in the production of high-quality artisanal wines, cheeses and cured meats, for cultural activities, as restaurants, or in the production of mushrooms, among others, are viable reuse proposals according to the current needs in the Mediterranean rural areas. Nevertheless, special care must be taken when restoring these spaces in order to respect the identity and the aesthetic appeal of the ancient cellars and not to come into conflict with the planning and building regulations. © 2009 Elsevier Ltd. All rights reserved.",2010,2025-12-16 16:10:52,2025-12-16 16:10:52,,738 - 748,,3,27,,,,,,,,,,,,,,,,,Type: Article,,,,rural landscape; Spain; rural area; rural society; documentary source; rural planning; esthetics; agroindustry; Basidiomycota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
