,"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,asreview_group_id,asreview_label,asreview_time,asreview_note
2364,4NAWNNGB,journalArticle,2011.0,"Woodthorpe, Kate",Sustaining the contemporary cemetery: Implementing policy alongside conflicting perspectives and purpose,Mortality,,,10.1080/13576275.2011.586125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859097929&doi=10.1080%2F13576275.2011.586125&partnerID=40&md5=57070dcc46310648870eebe701ff9d5f,"Cemeteries garner considerable academic attention as anthropologists, landscapers, archaeologists, sociologists, geographers and historians examine their layout, purpose and use. Emerging from these studies is a body of literature that considers cemetery and burial ground design, memorialisation, mourning behaviour and 'dark tourism'. Beyond interdisciplinary journals such as Mortality and edited multi-disciplinary books however, the insight generated in this literature can be fragmented through publication in discipline specific periodicals. As a result cemeteries are often analysed and presented as places that contain, for example, design or tourism and heritage or emotion and mourning. Framed by concerns over the sustainability of cemeteries nationwide, this paper considers the contemporary English cemetery as a simultaneous space of emotion, commerce and community. Using data from an ethnographic case study of a cemetery in East London, it illustrates the contestation that can result from these concurrent contrasting interpretations. The paper concludes that care needs to be taken when implementing initiatives and policy to balance the varying demands and expectations of a cemetery's purpose and use. © 2011 Copyright Taylor and Francis Group, LLC.",2011,2025-12-16 16:11:12,2025-12-16 16:11:12,,259 - 276,,3,16,,,,,,,,,,,,,,,,,Type: Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2364,1,2026-07-06 13:28:12,
1337,TA59PURK,journalArticle,2022.0,"Manu, Emmanuel Boadi; Kquofi, Steve; Issah, Mustapha","The impact of numinosity on the preservation of selected artefacts in the Manhyia Palace Museum, Ghana",Journal of the Institute of Conservation,,,10.1080/19455224.2022.2118142,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138702110&doi=10.1080%2F19455224.2022.2118142&partnerID=40&md5=60735b286a1094fb9cfab597bcffdec3,"The Manhyia Palace Museum in Kumasi, Ghana is popular for its outstanding exhibition of authentic cultural artefacts. However, these artefacts have always been associated with the beliefs, spirituality and philosophy of the Ashanti people and they are numinous or sacred objects venerated by both the museum's staff and its visitors. This article explores the phenomenon of numinosity surrounding selected objects in the collections and the impact this has on their preservation. It uses qualitative tools to explore case studies, including their detailed study, and interviews with people knowledgeable about their use and sacred status. A major finding the authors report is that numinous artefacts in the museum were not created as aesthetic objects but primarily for religious and utilitarian purposes that correlate with the devotion of the people involved. Their numinosity was also found to contribute to their preservation by protecting them from handling and use by visitors and museum personnel. The article is offered as a contribution to the literature both to stimulate similar research and widen the interests of those involved in the care of cultural heritage by situating such artefacts in cultural traditions that are arguably left largely outside the field of museology and yet are still to be fully explored in most parts of Africa. © 2022 Icon, The Institute of Conservation.",2022,2025-12-16 16:11:00,2025-12-16 16:11:00,,223 - 235,,3,45,,,,,,,,,,,,,,,,,Type: Article,,,,Museums; Authenticity; Museology; Exhibitions; Preservation; Tools; Cultural artifacts; Case-studies; Cultural heritages; Historic preservation; Personnel; Impact; Materials Handling; Ghana; Artifact; Cultural traditions; Numinosity; Phenomenological; Religious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337,1,2026-07-06 13:28:59,
2797,UTMQ3XDL,journalArticle,2022.0,"Manu, Emmanuel; Kquofi, Steve; Issah, Mustapha","The impact of numinosity on the preservation of selected artefacts in the Manhyia Palace Museum, Ghana",JOURNAL OF THE INSTITUTE OF CONSERVATION,,,10.1080/19455224.2022.2118142,,"The Manhyia Palace Museum in Kumasi, Ghana is popular for its outstanding exhibition of authentic cultural artefacts. However, these artefacts have always been associated with the beliefs, spirituality and philosophy of the Ashanti people and they are numinous or sacred objects venerated by both the museum's staff and its visitors. This article explores the phenomenon of numinosity surrounding selected objects in the collections and the impact this has on their preservation. It uses qualitative tools to explore case studies, including their detailed study, and interviews with people knowledgeable about their use and sacred status. A major finding the authors report is that numinous artefacts in the museum were not created as aesthetic objects but primarily for religious and utilitarian purposes that correlate with the devotion of the people involved. Their numinosity was also found to contribute to their preservation by protecting them from handling and use by visitors and museum personnel. The article is offered as a contribution to the literature both to stimulate similar research and widen the interests of those involved in the care of cultural heritage by situating such artefacts in cultural traditions that are arguably left largely outside the field of museology and yet are still to be fully explored in most parts of Africa.",2022-09-02,2025-12-16 16:11:49,2025-12-16 16:11:49,,223-235,,3,45,,,,,,,,,,,,,,,,,Type: Article,,,,museum; artefacts; authenticity; numinosity; phenomenological; religious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337,1,2026-07-06 13:28:59,
741,PNDGSCMG,journalArticle,2021.0,"Gardiner, Joy; Irving, Joan",Caring for Your Cherished Objects: THE WINTERTHUR GUIDE,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018542061&partnerID=40&md5=0c257cd45c2253e377d37327ce588ada,"Cherished objects and family heirlooms hold a special place in our lives. Whether they are personal letters, grandmother’s silverware, or the favorite stuffed animal from your childhood, these items all have significance and are part of your cultural heritage. Caring for Your Cherished Objects: The Winterthur Guide provides practical information about what you should and shouldn’t do to prolong the life of your objects, including advice about proper storage and display. The book will help you to assess your possessions, understand which objects are most vulnerable, and avoid the situations that will put them at more risk. Illustrations demonstrate the kinds of problems you may see on your own items or warning signs that indicate that some sort of action—whether preventive, conservative, or restorative—is warranted. Learn the difference between those terms. Sidebars in each chapter address the science behind the whys and hows to caring for the wide range of specific kinds of objects covered—from ephemera, documents, books, works of art on paper, photographs, and organic objects to textiles, ceramics, glass, metal objects, furniture, and frames. Included are the procedures that can be safely done by an owner as well as those that require the services of conservation professionals. So that you aren’t left to wander the Internet, a Resources section provides a list of reliable professional organizations as well as suggested readings, websites, and lists of suppliers to aid you in caring for your cherished objects. The authors of Caring for Your Cherished Objects are highly trained, experienced experts who have cared for thousands of precious objects and have a passion for the topic. In addition to caring for the collection at Winterthur Museum, Garden & Library, they teach, consult, and lecture on the care of cultural heritage to students, professionals, and the public. © 2021 The Henry Francis du Pont Winterthur Museum, Inc. All rights reserved.",2021,2025-12-16 16:10:52,2025-12-16 16:10:52,,1 - 156,,,,,,,,,,,,,,,,,,,,Type: Book,,,,Museums; Cultural heritages; Historic preservation; Learn+; Ceramic glass; Glass-metal; Information retrieval systems; Organic objects; Professional organization; Warning signs; Weaving; Work of art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,1,2026-07-06 13:29:03,
1031,RSWX93GW,journalArticle,2022.0,"Jones, Siân; Yarrow, Thomas",THE OBJECT OF CONSERVATION: An Ethnography of Heritage Practice,,,,10.4324/9781315622385,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140169767&doi=10.4324%2F9781315622385&partnerID=40&md5=78e70005f5bb04622ba0ac6289a6602b,"The Object of Conservation examines how historic buildings, monuments and artefacts are cared for as valued embodiments of the past. It tells the fascinating story of the working lives of those involved in conservation through an ethnographic account of a national heritage agency. How are conservation objects made? What is the moral purpose of that making and what practical consequences flow from this? Revealing the hidden labour of keeping things as they are, the book highlights the ethical commitments and dilemmas involved in trying to care well. In doing so, it reveals how conservation objects are made literally to matter. Taking debates in the interdisciplinary field of heritage studies forward in important new directions, the book engages with themes of broader interest within the arts, humanities and social sciences, shedding new light on time, authenticity, modernity, materiality, expert knowledge and the politics of care. The Object of Conservation is a thought-provoking and engaging account that offers original insights for students, scholars, heritage professionals and others interested in the work of caring for the past. © 2022 Siân Jones and Thomas Yarrow.",2022,2025-12-16 16:10:57,2025-12-16 16:10:57,,1 - 248,,,,,,,,,,,,,,,,,,,,Type: Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,1,2026-07-06 13:31:11,
1458,JBD737EH,journalArticle,2019.0,"Molina, Sarah",Sustaining the lives of art objects,AMA Journal of Ethics,,,10.1001/amajethics.2019.450,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066923161&doi=10.1001%2Famajethics.2019.450&partnerID=40&md5=fb1b53640929ea18c75e071065b102d0,This article explores the complex process of sustaining the lives of art objects and considers ways in which conservation efforts in art museums parallel cultural humility cultivation among health care professionals. Conservators and scientists at the Art Institute of Chicago grapple with a number of ethical questions that emerge when preserving and caring for objects with complicated histories and entangled networks of stakeholders. What follows is an examination of these issues in relation to objects in the Art Institute’s collection and the larger histories of art museums and medicine. © 2019 American Medical Association. All rights reserved.,2019,2025-12-16 16:11:02,2025-12-16 16:11:02,,450 - 454,,5,21,,,,,,,,,,,,,,,,,Type: Article,,,,Art; Museums; Humans; ethics; art; article; human; information center; literature; Culturally Competent Care; transcultural care; Metaphor; artifact; long term care; Artifacts; Illinois; Life Support Care; Life Support Systems; microclimate; scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458,1,2026-07-06 13:32:07,
78,IPESFD76,journalArticle,2006.0,"Angus, Aline; Kite, Marion; Sturge, Theodore","General principles of care, storage and display",,,,10.4324/9780080454665-19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017994242&doi=10.4324%2F9780080454665-19&partnerID=40&md5=ca82cbfad6ab57c28e33098bc8eca3e4,"The book, Caring for the Past, Issues in Conservation for Archaeology and Museums (Pye, 2001), focuses on the practical concerns and ethical dilemmas of conservators having to treat objects in a variety of circumstances. Some of these are governed by the necessity to make the object fit for continued use rather than static museum display. Conservation processes which change the object or its environment and lead to the long-term survival of the object are discussed in relation to the original purpose or function of the object and also its current situation in a museum or collection. This book is essential reading for all conservators, and also for those considering the issues and treatments discussed in this chapter. © 2006 Elsevier Ltd. All rights reserved.",2006,2025-12-16 16:10:38,2025-12-16 16:10:38,,113 - 120,,,,,,,,,,,,,,,,,,,,Type: Book chapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,1,2026-07-06 13:32:11,
1604,6CG9J8QT,journalArticle,2023.0,"Owczarek, Nina",PRIORITIZING PEOPLE IN ETHICAL DECISION-MAKING AND CARING FOR CULTURAL HERITAGE COLLECTIONS,,,,10.4324/b23092,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163547611&doi=10.4324%2Fb23092&partnerID=40&md5=6ed4c2257a9ae77945cd8ba0694f7d28,"While historically focusing on the object, the study of ethics in conservation has expanded to consider the human aspect of conservation work. This book offers a flexible framework to guide decision-making in line with this development, offering an inclusive, compassionate approach to collections care. This edited volume contributes theories and international examples for advancing conservation practice and providing best practice for the field that centers people in conservation of cultural heritage and collections care. The first part examines the ethical theory that underpins conservation decision-making by challenging outdated norms, introducing updated methods, and demonstrating new ways to approach compassionate collections care. The second part considers the challenges of human-centered ethics in conservation practice, while the final part provides real-world examples and case studies of these best practices in action, including successful challenges to colonial authority. By presenting both theoretical and practical aspects of prioritizing people, this volume establishes the need for rethinking conservation approaches while demonstrating how to do so effectively. Combining theory and practice, Prioritizing People in Ethical Decision-Making and Caring for Cultural Heritage Collections is valuable reading for conservation professionals, including collections managers, conservators, curators, and registrars. It will also benefit students working in Cultural Heritage Conservation, Museum studies, and Heritage Studies, as well as those taking courses in Art History and Anthropology. © 2023 selection and editorial matter, Nina Owczarek; individual chapters, the contributors.",2023,2025-12-16 16:11:04,2025-12-16 16:11:04,,1 - 204,,,,,,,,,,,,,,,,,,,,Type: Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1604,1,2026-07-06 13:32:17,
2467,3MEUB8CU,journalArticle,2003.0,"Ashley-Smith, J",Caring for the past: Issues in conservation for archaeology and museums,STUDIES IN CONSERVATION,,,,,,2003,2025-12-16 16:11:44,2025-12-16 16:11:44,,284-285,,4,48,,,,,,,,,,,,,,,,,Type: Book Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467,1,2026-07-06 13:32:21,
2631,2XAQZ8PK,journalArticle,2004.0,"Greene, V",Caring for the past: Issues in conservation for archaeology and museums.,JOURNAL OF THE AMERICAN INSTITUTE FOR CONSERVATION,,,10.2307/4129658,,,2004,2025-12-16 16:11:46,2025-12-16 16:11:46,,196-198,,2,43,,,,,,,,,,,,,,,,,Type: Book Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467,1,2026-07-06 13:32:21,
